instance_id,variant_type,repo,lang,split,status,exclusion_reason,flags,n_f2p_effective,n_p2p_effective,p_hat_orig,p_hat_source_orig,empirical_success_rate
cantools__cantools.0c6a7871.combine_file__446ox3s6,swe_64k,swesmith/cantools__cantools.0c6a7871,ko,validation,ok,,,7,30,0.75,judge_label_mapped,
PyCQA__flake8.cf1542ce.func_basic__fmtax6ji,swe_64k,swesmith/PyCQA__flake8.cf1542ce,en,train,ok,,,1,30,0.75,judge_label_mapped,0.25
Knio__dominate.9082227e.lm_rewrite__i11w5427,swe_32k,swesmith/Knio__dominate.9082227e,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,7,30,0.4,judge_label_mapped,0.0
PyCQA__flake8.cf1542ce.combine_module__r6vjxuov,swe_32k,swesmith/PyCQA__flake8.cf1542ce,ko,excluded,excluded,TOO_HARD,,2,30,0.4,judge_label_mapped,0.0
pudo__dataset.5c2dc8d3.func_pm_ctrl_shuffle__gfu7q6ma,swe_32k,swesmith/pudo__dataset.5c2dc8d3,ko,train,ok,,GOLD_WHITESPACE_MISMATCH;HARD_BUT_PARTIAL_SIGNAL,1,30,0.4,judge_label_mapped,0.0
pygments__pygments.27649ebb.combine_file__0bvd1xox,swe_64k,swesmith/pygments__pygments.27649ebb,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,9,30,0.4,judge_label_mapped,0.0
mahmoud__boltons.3bfcfdd0.func_basic__pjctmraz,swe_128k,swesmith/mahmoud__boltons.3bfcfdd0,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,2,30,0.25,judge_label_mapped,0.0
pyupio__safety.7654596b.combine_file__2gn66224,swe_32k,swesmith/pyupio__safety.7654596b,en,train,ok,,F2P_PRUNED:4;HARD_BUT_PARTIAL_SIGNAL,19,30,0.4,judge_label_mapped,0.0
agronholm__exceptiongroup.0b4f4937.combine_file__e14uhohy,swe_32k,swesmith/agronholm__exceptiongroup.0b4f4937,en,excluded,excluded,NO_VALID_F2P,F2P_PRUNED:28;P2P_PRUNED:30,0,0,0.25,judge_label_mapped,
luozhouyang__python-string-similarity.115acaac.func_pm_class_rm_funcs__81k3t0m0,swe_32k,swesmith/luozhouyang__python-string-similarity.115acaac,ko,test,ok,,GOLD_WHITESPACE_MISMATCH,1,17,0.6,judge_label_mapped,
agronholm__typeguard.b6a7e438.combine_module__4gos0hbz,swe_32k,swesmith/agronholm__typeguard.b6a7e438,en,train,ok,,F2P_PRUNED:80;HARD_BUT_PARTIAL_SIGNAL,50,30,0.25,judge_label_mapped,0.0
cknd__stackprinter.219fcc52.func_basic__2zzkhjzo,swe_32k,swesmith/cknd__stackprinter.219fcc52,en,validation,ok,,,1,6,0.6,judge_label_mapped,
pyupio__safety.7654596b.combine_file__ufd9gojl,swe_128k,swesmith/pyupio__safety.7654596b,en,train,ok,,P2P_PRUNED:1;HARD_BUT_PARTIAL_SIGNAL,1,29,0.75,judge_label_mapped,0.0
Cog-Creators__Red-DiscordBot.33e0eac7.combine_module__4tphefy7,swe_128k,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,ko,validation,ok,,,5,30,0.6,judge_label_mapped,
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,swe_64k,swesmith/jd__tenacity.0d40e76f,ko,train,ok,,,9,30,0.6,judge_label_mapped,0.125
agronholm__exceptiongroup.0b4f4937.combine_module__kxbg804z,swe_32k,swesmith/agronholm__exceptiongroup.0b4f4937,en,excluded,excluded,NO_VALID_F2P,F2P_PRUNED:32;P2P_PRUNED:30,0,0,0.25,judge_label_mapped,
agronholm__exceptiongroup.0b4f4937.combine_module__qehwklvp,swe_32k,swesmith/agronholm__exceptiongroup.0b4f4937,en,test,ok,,,23,30,0.25,judge_label_mapped,
agronholm__typeguard.b6a7e438.combine_file__o3wq34zr,swe_32k,swesmith/agronholm__typeguard.b6a7e438,en,train,ok,,F2P_PRUNED:2;HARD_BUT_PARTIAL_SIGNAL,50,30,0.4,judge_label_mapped,0.0
pdfminer__pdfminer.six.1a8bd2f7.combine_file__g2xn154m,swe_32k,swesmith/pdfminer__pdfminer.six.1a8bd2f7,ko,train,ok,,F2P_PRUNED:8;HARD_BUT_PARTIAL_SIGNAL,50,30,0.75,judge_label_mapped,0.0
luozhouyang__python-string-similarity.115acaac.func_basic__ujspq4ne,swe_32k,swesmith/luozhouyang__python-string-similarity.115acaac,ko,excluded,excluded,BUG_IN_TEST_FILE,gold_touches_tests,0,0,0.4,judge_label_mapped,
bottlepy__bottle.a8dfef30.func_basic__3giqa6tg,swe_128k,swesmith/bottlepy__bottle.a8dfef30,en,train,ok,,HARD_BUT_PARTIAL_SIGNAL,2,30,0.6,judge_label_mapped,0.0
pygments__pygments.27649ebb.combine_file__40k5bixh,swe_128k,swesmith/pygments__pygments.27649ebb,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,12,30,0.25,judge_label_mapped,0.0
jd__tenacity.0d40e76f.combine_file__y0lnsv2r,swe_64k,swesmith/jd__tenacity.0d40e76f,en,train,ok,,F2P_PRUNED:6;P2P_PRUNED:4,50,26,0.75,judge_label_mapped,0.125
Cog-Creators__Red-DiscordBot.33e0eac7.combine_module__hrxknpoa,swe_128k,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,en,validation,ok,,,2,30,0.4,judge_label_mapped,
bottlepy__bottle.a8dfef30.func_basic__0yaqi7l2,swe_64k,swesmith/bottlepy__bottle.a8dfef30,ko,train,ok,,HARD_BUT_PARTIAL_SIGNAL,13,30,0.6,judge_label_mapped,0.0
joke2k__faker.8b401a7d.combine_module__tsjlsxv2,swe_32k,swesmith/joke2k__faker.8b401a7d,ko,test,ok,,,20,30,0.4,judge_label_mapped,
joke2k__faker.8b401a7d.combine_module__l4ifkoed,swe_64k,swesmith/joke2k__faker.8b401a7d,en,test,ok,,GOLD_WHITESPACE_MISMATCH,5,30,0.6,judge_label_mapped,
