instance_id,repo_or_image,data_source,n_f2p,n_p2p,p_hat,difficulty_band,subset,has_gold_patch,has_buggy_files,prompt_len_chars,harness_kind,language
r2e.aiohttp.dd5b9784e71b,aiohttp,t15_repo_patch,9,0,0.6,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.ea948a4a984d,aiohttp,t15_repo_patch,27,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.e9609ad14aef,aiohttp,t15_repo_patch,177,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.aa2308fb632b,aiohttp,t15_repo_patch,39,0,0.6,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.d3fa32eb3905,aiohttp,t15_repo_patch,186,0,0.4,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.618335186f22,aiohttp,t15_repo_patch,47,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.92cd425bca4c,aiohttp,t15_repo_patch,15,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.fa628a2170cc,aiohttp,t15_repo_patch,106,0,0.4,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.87342c791dfd,aiohttp,t15_repo_patch,40,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.d9a9368f0923,aiohttp,t15_repo_patch,15,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.0fdcc291d6f4,aiohttp,t15_repo_patch,40,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.bb81dbc7f3f0,aiohttp,t15_repo_patch,31,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.006fbe03fede,aiohttp,t15_repo_patch,133,0,0.25,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.c054f579dd04,aiohttp,t15_repo_patch,56,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.7c38deb7c709,aiohttp,t15_repo_patch,63,0,0.25,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.b8548c7d4784,aiohttp,t15_repo_patch,38,0,0.6,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.dccf97578e6a,aiohttp,t15_repo_patch,39,0,0.6,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.f569894caa7c,aiohttp,t15_repo_patch,223,0,0.6,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.fca5a7a0c8f3,aiohttp,t15_repo_patch,5,0,0.4,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.43f188c3201b,aiohttp,t15_repo_patch,47,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.8f881a7ad81e,aiohttp,t15_repo_patch,38,0,0.6,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.800c7929cae8,aiohttp,t15_repo_patch,34,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.8cf3ae42bd0b,aiohttp,t15_repo_patch,42,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.f0caa654b2db,aiohttp,t15_repo_patch,48,0,0.6,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.f99348b989eb,aiohttp,t15_repo_patch,50,0,0.4,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.ee87a049be63,aiohttp,t15_repo_patch,23,0,0.6,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.7a796a652790,aiohttp,t15_repo_patch,65,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.731f8dd92527,aiohttp,t15_repo_patch,31,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.2b85ad73f587,aiohttp,t15_repo_patch,187,0,0.75,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.18a281eff089,aiohttp,t15_repo_patch,34,0,0.4,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.482e6cdf6516,aiohttp,t15_repo_patch,109,0,0.6,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.0e6bbbce2d19,aiohttp,t15_repo_patch,35,0,0.4,learnable,core,True,True,,r2e_gym,
r2e.aiohttp.5a8d95b6bafe,aiohttp,t15_repo_patch,10,0,0.6,learnable,core,True,True,,r2e_gym,
