instance_id,repo_or_image,data_source,n_f2p,n_p2p,p_hat,difficulty_band,subset,has_gold_patch,has_buggy_files,prompt_len_chars,harness_kind,language
opencodeinstruct-1d6e25272db4,t15_unittest.sif,t15_unittest_impl,10,0,0.5,learnable,core,True,False,899,function,en
opencodeinstruct-99f2c9d77d3e,t15_unittest.sif,t15_unittest_impl,7,0,0.25,learnable,core,True,False,798,function,en
opencodeinstruct-8b5e67fd36dd,t15_unittest.sif,t15_unittest_impl,9,0,0.75,learnable,core,True,False,739,function,en
opencodeinstruct-7fe4300879df,t15_unittest.sif,t15_unittest_impl,10,0,0.5,learnable,core,True,False,1097,function,en
opencodeinstruct-5b4666ae2b94,t15_unittest.sif,t15_unittest_impl,8,0,0.25,learnable,core,True,False,680,function,en
opencodeinstruct-8fe7c2210ce5,t15_unittest.sif,t15_unittest_impl,10,0,0.75,learnable,core,True,False,595,function,en
opencodeinstruct-778544162687,t15_unittest.sif,t15_unittest_impl,7,0,0.25,learnable,core,True,False,778,function,en
opencodeinstruct-ae8d6c58d615,t15_unittest.sif,t15_unittest_impl,4,0,0.75,learnable,core,True,False,862,function,en
opencodeinstruct-481987951946,t15_unittest.sif,t15_unittest_impl,9,0,0.5,learnable,core,True,False,917,function,en
opencodeinstruct-230418c1397b,t15_unittest.sif,t15_unittest_impl,10,0,0.5,learnable,core,True,False,1487,function,en
opencodeinstruct-355ff4c96430,t15_unittest.sif,t15_unittest_impl,10,0,0.25,learnable,core,True,False,631,function,en
opencodeinstruct-a1cb828a4b22,t15_unittest.sif,t15_unittest_impl,10,0,0.25,learnable,core,True,False,1053,function,en
opencodeinstruct-0652c9e793c0,t15_unittest.sif,t15_unittest_impl,7,0,0.5,learnable,core,True,False,735,function,en
opencodeinstruct-a9cbf0905a68,t15_unittest.sif,t15_unittest_impl,9,0,0.75,learnable,core,True,False,642,function,en
opencodeinstruct-4d257b218bd7,t15_unittest.sif,t15_unittest_impl,10,0,0.5,learnable,core,True,False,985,function,en
opencodeinstruct-e60cad82ba17,t15_unittest.sif,t15_unittest_impl,10,0,0.5,learnable,core,True,False,996,function,en
opencodeinstruct-0520b208fc2c,t15_unittest.sif,t15_unittest_impl,9,0,0.25,learnable,core,True,False,693,function,en
opencodeinstruct-6c8ac70a4131,t15_unittest.sif,t15_unittest_impl,10,0,0.75,learnable,core,True,False,890,function,en
opencodeinstruct-016e5a74fc7f,t15_unittest.sif,t15_unittest_impl,6,0,0.25,learnable,core,True,False,797,function,en
opencodeinstruct-207cbe2a780a,t15_unittest.sif,t15_unittest_impl,9,0,0.25,learnable,core,True,False,909,function,en
opencodeinstruct-026d1d173154,t15_unittest.sif,t15_unittest_impl,10,0,0.5,learnable,core,True,False,622,function,en
opencodeinstruct-7eba3ce06f8c,t15_unittest.sif,t15_unittest_impl,10,0,0.5,learnable,core,True,False,720,function,en
opencodeinstruct-81f0169f54f8,t15_unittest.sif,t15_unittest_impl,10,0,0.5,learnable,core,True,False,1037,function,en
opencodeinstruct-6caf9a8c04e0,t15_unittest.sif,t15_unittest_impl,9,0,0.75,learnable,core,True,False,876,function,en
opencodeinstruct-4c5b10ba3014,t15_unittest.sif,t15_unittest_impl,8,0,0.25,learnable,core,True,False,1029,function,en
opencodeinstruct-a3c2f55cb259,t15_unittest.sif,t15_unittest_impl,9,0,0.25,learnable,core,True,False,904,function,en
opencodeinstruct-6d02844fa81f,t15_unittest.sif,t15_unittest_impl,8,0,0.5,learnable,core,True,False,1040,function,en
opencodeinstruct-92eb189064a2,t15_unittest.sif,t15_unittest_impl,10,0,0.5,learnable,core,True,False,591,function,en
opencodeinstruct-425dbfd45bfb,t15_unittest.sif,t15_unittest_impl,9,0,0.25,learnable,core,True,False,753,function,en
opencodeinstruct-c4cedff1be54,t15_unittest.sif,t15_unittest_impl,10,0,0.75,learnable,core,True,False,1180,function,en
opencodeinstruct-da39a17c4f3f,t15_unittest.sif,t15_unittest_impl,10,0,0.25,learnable,core,True,False,1622,function,en
opencodeinstruct-d9b789db1cf3,t15_unittest.sif,t15_unittest_impl,9,0,0.5,learnable,core,True,False,1044,function,en
opencodeinstruct-4cc5f8c400af,t15_unittest.sif,t15_unittest_impl,10,0,0.25,learnable,core,True,False,897,function,en
opencodeinstruct-703e4cd03c7f,t15_unittest.sif,t15_unittest_impl,8,0,0.5,learnable,core,True,False,1273,function,en
opencodeinstruct-f075c42ada1b,t15_unittest.sif,t15_unittest_impl,7,0,0.75,learnable,core,True,False,666,function,en
opencodeinstruct-7a5ea7f33ef8,t15_unittest.sif,t15_unittest_impl,4,0,0.25,learnable,core,True,False,654,function,en
opencodeinstruct-4e55f5fd5bb5,t15_unittest.sif,t15_unittest_impl,8,0,0.5,learnable,core,True,False,735,function,en
opencodeinstruct-24d250ff819f,t15_unittest.sif,t15_unittest_impl,10,0,0.25,learnable,core,True,False,696,function,en
opencodeinstruct-39b426c9a9eb,t15_unittest.sif,t15_unittest_impl,9,0,0.25,learnable,core,True,False,621,function,en
opencodeinstruct-ed62110f8ba8,t15_unittest.sif,t15_unittest_impl,7,0,0.5,learnable,core,True,False,873,function,en
opencodeinstruct-66651d627d6a,t15_unittest.sif,t15_unittest_impl,10,0,0.75,learnable,core,True,False,667,function,en
opencodeinstruct-7b7e3c9f5c96,t15_unittest.sif,t15_unittest_impl,10,0,0.5,learnable,core,True,False,795,function,en
kodcode-87078c4d5267,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,477,pytest,en
kodcode-956a1e60998b,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,716,pytest,en
opencodeinstruct-f27c2a31391e,t15_unittest.sif,t15_unittest_impl,9,0,0.25,learnable,core,True,False,934,function,en
kodcode-cb0f50e4f5ea,t15_unittest.sif,t15_unittest_impl,1,0,0.75,learnable,core,True,False,526,pytest,en
kodcode-586fdbdcada7,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,388,pytest,en
kodcode-39cd07c693b2,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,689,pytest,en
kodcode-2f221f97066f,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,942,pytest,en
kodcode-1dc4687a74c9,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,598,pytest,en
kodcode-175959656e5b,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,482,pytest,en
kodcode-9924267c5993,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,721,pytest,en
kodcode-4a380c8b1951,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,501,pytest,en
kodcode-49c85e9eb88d,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,504,pytest,en
kodcode-c765ec1158e8,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,613,pytest,en
kodcode-72551025f36e,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,590,pytest,en
kodcode-62b155aa84f0,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,428,pytest,en
kodcode-8f90d4ccad82,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,830,pytest,en
kodcode-3ab00af3f432,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,420,pytest,en
kodcode-952e98f0cdd1,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,563,pytest,en
kodcode-758abe56cc0a,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,346,pytest,en
kodcode-c6e8a0b157d2,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,955,pytest,en
kodcode-5f6a1316876b,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,598,pytest,en
kodcode-e40975302451,t15_unittest.sif,t15_unittest_impl,1,0,0.75,learnable,core,True,False,546,pytest,en
kodcode-c1af70bba610,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,527,pytest,en
kodcode-39e386f676b9,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,711,pytest,en
opencodeinstruct-d4f0d0993ace,t15_unittest.sif,t15_unittest_impl,8,0,0.5,learnable,core,True,False,657,function,en
kodcode-8ea8ff0e3329,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,661,pytest,en
kodcode-a9d107e7005d,t15_unittest.sif,t15_unittest_impl,1,0,0.75,learnable,core,True,False,1215,pytest,en
kodcode-34a21e8a33e2,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,527,pytest,en
kodcode-9b516a19d293,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,461,pytest,en
kodcode-99b4f2f36674,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,450,pytest,en
kodcode-3f9525247df2,t15_unittest.sif,t15_unittest_impl,1,0,0.25,learnable,core,True,False,589,pytest,en
kodcode-ce437f555117,t15_unittest.sif,t15_unittest_impl,1,0,0.5,learnable,core,True,False,411,pytest,en
kodcode-b56040ab5381,t15_unittest.sif,t15_unittest_impl,1,0,0.75,learnable,core,True,False,406,pytest,en
