instance_id,repo_or_image,data_source,n_f2p,n_p2p,p_hat,difficulty_band,subset,has_gold_patch,has_buggy_files,prompt_len_chars,harness_kind,language
opencodeinstruct-0bceab4b7d66,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,762,function,en
opencodeinstruct-0895f4f82523,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,781,function,en
opencodeinstruct-dd3fb68bcafe,t15_unittest.sif,t15_unittest_impl,8,0,,unmeasured,extended,True,False,809,function,en
opencodeinstruct-9f4cc9ff3fc5,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,782,function,en
opencodeinstruct-79938987b9ea,t15_unittest.sif,t15_unittest_impl,9,0,,unmeasured,extended,True,False,992,function,en
opencodeinstruct-9748b9366406,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,799,function,en
opencodeinstruct-dbfc58f8acbc,t15_unittest.sif,t15_unittest_impl,9,0,,unmeasured,extended,True,False,1219,function,en
opencodeinstruct-496b90f3f28f,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,699,function,en
opencodeinstruct-935b76c0796d,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,641,function,en
opencodeinstruct-1938adfd1429,t15_unittest.sif,t15_unittest_impl,7,0,,unmeasured,extended,True,False,655,function,en
opencodeinstruct-ef5d732c0471,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,736,function,en
opencodeinstruct-7ae3b651e8b8,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,709,function,en
opencodeinstruct-d6e0ca518e9b,t15_unittest.sif,t15_unittest_impl,4,0,,unmeasured,extended,True,False,1690,function,en
opencodeinstruct-4a4be8f92b30,t15_unittest.sif,t15_unittest_impl,9,0,,unmeasured,extended,True,False,809,function,en
opencodeinstruct-249b715098ef,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,1153,function,en
opencodeinstruct-c3e44e1c017a,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,518,function,en
opencodeinstruct-6319c5eb0edb,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,734,function,en
opencodeinstruct-059f15fcae6c,t15_unittest.sif,t15_unittest_impl,8,0,,unmeasured,extended,True,False,971,function,en
opencodeinstruct-f41c75f3c21e,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,917,function,en
opencodeinstruct-945c2c96af4a,t15_unittest.sif,t15_unittest_impl,8,0,,unmeasured,extended,True,False,799,function,en
opencodeinstruct-eb5305f37e76,t15_unittest.sif,t15_unittest_impl,9,0,,unmeasured,extended,True,False,617,function,en
opencodeinstruct-fe88b3aac405,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,493,function,en
opencodeinstruct-c9d0fd9135a0,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,980,function,en
opencodeinstruct-47f7849105c6,t15_unittest.sif,t15_unittest_impl,8,0,,unmeasured,extended,True,False,739,function,en
opencodeinstruct-3c951e48f2fc,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,620,function,en
opencodeinstruct-a1b1464ca37f,t15_unittest.sif,t15_unittest_impl,8,0,,unmeasured,extended,True,False,602,function,en
opencodeinstruct-a1df7a149623,t15_unittest.sif,t15_unittest_impl,6,0,,unmeasured,extended,True,False,1234,function,en
opencodeinstruct-384c40f052e6,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,718,function,en
opencodeinstruct-1a20a2d58333,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,1030,function,en
opencodeinstruct-7e8c386339db,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,891,function,en
opencodeinstruct-e0e952c282d9,t15_unittest.sif,t15_unittest_impl,8,0,,unmeasured,extended,True,False,647,function,en
opencodeinstruct-058c137c2f6b,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,802,function,en
opencodeinstruct-e0278d891c76,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,655,function,en
opencodeinstruct-1aef66fee264,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,662,function,en
opencodeinstruct-838c1e8ac657,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,931,function,en
opencodeinstruct-6b3df27cc3a6,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,612,function,en
opencodeinstruct-05f1d76215cc,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,611,function,en
opencodeinstruct-ac563a8e40f1,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,1294,function,en
opencodeinstruct-7f8aded7bcc5,t15_unittest.sif,t15_unittest_impl,9,0,,unmeasured,extended,True,False,1219,function,en
opencodeinstruct-d6a363fd572f,t15_unittest.sif,t15_unittest_impl,6,0,,unmeasured,extended,True,False,656,function,en
opencodeinstruct-70ac35197b71,t15_unittest.sif,t15_unittest_impl,10,0,,unmeasured,extended,True,False,1071,function,en
opencodeinstruct-ff77a3ecd7b1,t15_unittest.sif,t15_unittest_impl,9,0,,unmeasured,extended,True,False,674,function,en
