family,experiment_id,reward_version,verifier_version,rubric_version,decision,train_reward,kl,entropy,max_grad_norm,val_score,delta_val_score,val_resolved,delta_val_resolved,val_f2p,delta_val_f2p,val_p2p,delta_val_p2p,val_apply,delta_val_apply,val_format,delta_val_format,val_invalid,delta_val_invalid,val_infra,delta_val_infra,val_score_swe,delta_val_score_swe,val_score_ut,delta_val_score_ut,val_resolved_swe,delta_val_resolved_swe,val_resolved_ut,delta_val_resolved_ut
F2P partial credit,exp_D000_baseline,rw_v001_baseline,vf_v002,rb_v000_none,keep,0.21727854013442993,0.0,1.051303744316101,0.384765625,0.21301945048916554,0.0,0.12625,0.0,0.21910285894660894,0.0,1.0,0.0,0.49625,0.0,0.6819642857142858,0.0,0.50375,0.0,0.0,0.0,0.017142857398305622,0.0,0.40889604358002546,0.0,0.0,0.0,0.2525,0.0
F2P partial credit,exp_D001_f2p_binary,rw_v002_f2p_binary,vf_v002,rb_v001_code_hint,keep,0.22152777016162872,0.0,1.1589200496673584,0.47265625,0.1769642864141081,-0.0361,0.13,0.0038,0.21106565656565657,-0.008,1.0,0.0,0.4925,-0.0038,0.7210714285714286,0.0391,0.5075,0.0037,0.0,0.0,0.021428571747882024,0.0043,0.3325000010803342,-0.0764,0.0,0.0,0.26,0.0075
F2P partial credit,exp_D002_f2p_linear,rw_v003_f2p_linear,vf_v002,rb_v001_code_hint,keep,0.2883283793926239,0.0,1.034057855606079,0.4296875,0.2371964291895607,0.0242,0.14375,0.0175,0.22211309523809525,0.003,1.0,0.0,0.49375,-0.0025,0.7366071428571429,0.0546,0.50625,0.0025,0.0,0.0,0.022857143197740827,0.0057,0.4515357151813805,0.0426,0.0,0.0,0.2875,0.035
F2P partial credit,exp_D003_f2p_ladder,rw_v005_f2p_ladder,vf_v002,rb_v001_code_hint,reject,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
P2P regression penalty,exp_D000_baseline,rw_v001_baseline,vf_v002,rb_v000_none,keep,0.21727854013442993,0.0,1.051303744316101,0.384765625,0.21301945048916554,0.0,0.12625,0.0,0.21910285894660894,0.0,1.0,0.0,0.49625,0.0,0.6819642857142858,0.0,0.50375,0.0,0.0,0.0,0.017142857398305622,0.0,0.40889604358002546,0.0,0.0,0.0,0.2525,0.0
P2P regression penalty,exp_D004_p2p_strong,rw_v006_p2p_strong,vf_v002,rb_v000_none,reject,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
P2P regression penalty,exp_D005_p2p_tolerant,rw_v007_p2p_tolerant,vf_v002,rb_v000_none,reject,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Rule-only vs rubric vs RUSCA,exp_D000_baseline,rw_v001_baseline,vf_v002,rb_v000_none,keep,0.21727854013442993,0.0,1.051303744316101,0.384765625,0.21301945048916554,0.0,0.12625,0.0,0.21910285894660894,0.0,1.0,0.0,0.49625,0.0,0.6819642857142858,0.0,0.50375,0.0,0.0,0.0,0.017142857398305622,0.0,0.40889604358002546,0.0,0.0,0.0,0.2525,0.0
Rule-only vs rubric vs RUSCA,exp_D006_rule_only,rw_v011_rule_only,vf_v002,rb_v000_none,reject,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Rule-only vs rubric vs RUSCA,exp_D007_rubric_heavy,rw_v012_rubric_heavy,vf_v002,rb_v002_checkable,reject,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Rule-only vs rubric vs RUSCA,exp_D008_rusca,rw_v013_rusca,vf_v002,rb_v002_checkable,reject,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Rule-only vs rubric vs RUSCA,exp_D009_no_scaffold,rw_v001_baseline,vf_v002,rb_v000_none,reject,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gating,exp_D000_baseline,rw_v001_baseline,vf_v002,rb_v000_none,keep,0.21727854013442993,0.0,1.051303744316101,0.384765625,0.21301945048916554,0.0,0.12625,0.0,0.21910285894660894,0.0,1.0,0.0,0.49625,0.0,0.6819642857142858,0.0,0.50375,0.0,0.0,0.0,0.017142857398305622,0.0,0.40889604358002546,0.0,0.0,0.0,0.2525,0.0
Gating,exp_D010_additive_nogate,rw_v014_additive_nogate,vf_v002,rb_v000_none,reject,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Length (DDCA),exp_D000_baseline,rw_v001_baseline,vf_v002,rb_v000_none,keep,0.21727854013442993,0.0,1.051303744316101,0.384765625,0.21301945048916554,0.0,0.12625,0.0,0.21910285894660894,0.0,1.0,0.0,0.49625,0.0,0.6819642857142858,0.0,0.50375,0.0,0.0,0.0,0.017142857398305622,0.0,0.40889604358002546,0.0,0.0,0.0,0.2525,0.0
Length (DDCA),exp_D011_ddca,rw_v001_baseline,vf_v002,rb_v000_none,reject,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Verifier / parser,exp_D000_baseline,rw_v001_baseline,vf_v002,rb_v000_none,keep,0.21727854013442993,0.0,1.051303744316101,0.384765625,0.21301945048916554,0.0,0.12625,0.0,0.21910285894660894,0.0,1.0,0.0,0.49625,0.0,0.6819642857142858,0.0,0.50375,0.0,0.0,0.0,0.017142857398305622,0.0,0.40889604358002546,0.0,0.0,0.0,0.2525,0.0
Verifier / parser,exp_D012_parser_baseline,rw_v001_baseline,vf_v003_baseline_parser,rb_v000_none,reject,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
